n,0.05,0.155556,0.261111,0.366667,0.472222,0.577778,0.683333,0.788889,0.894444,1
1,0.832948,0.797067,1,0.898827,0.612477,0.612477,0.612477,0.612477,0.612477,0.612477
2,0.466929,0.900377,0.756533,1,1,1,1,1,1,1
3,0.831899,0.729431,0.504511,0.504511,0.504511,0.252255,0.252255,0.252255,0.252255,0.252255
4,0.895943,0.605739,0.605739,0.605739,0.757641,0.757641,0.757641,0.757641,0.757641,0.757641
5,0.541417,0.905795,0.905795,0.525055,0.525055,0.525055,0.525055,0.525055,0.525055,0.525055
6,0.679016,0.679016,0.492071,0.492071,0.246035,0.246035,0.246035,0.246035,0.246035,1
7,0.624748,0.99561,0.775329,1,1,1,1,1,1,1
8,1,0.83927,0.523021,0.923113,0.623186,0.628182,0.628182,0.628182,0.628182,0.628182
9,0.867398,0.669096,0.726561,0.740706,1,1,1,1,1,1
10,0.554133,0.906558,0.698266,0.516064,0.516064,0.516064,0.516064,0.516064,0.516064,0.516064
